;cml;phi_io;phi_gan;phi_eu;time;freq;intensity;drift_rate;sigma;chi;snr
0;351.43924062885344;241.90840085642412;45.96870555053465;170.06354748667218;11418.198031246662;12.486267;0.25194776;-15.450217;16.474865;0.0011238426;6.173977
1;351.45032604411244;241.91097450209782;45.96934658847749;170.06482748757116;11418.198043982498;12.486267;0.3059273;-13.83128;14.349415;0.001117739;8.6800165
2;351.46142848208547;241.91355209983885;45.96998861071188;170.06610945402645;11418.198056737892;12.486267;0.13782197;-16.372648;13.780987;0.00031480874;6.6213055
3;351.4947009384632;241.92127680080011;45.971912661916576;170.06995132868178;11418.198094964027;12.486267;0.16787948;-12.137892;11.292838;0.0006106793;6.2939215
4;351.5390588082373;241.9315751469694;45.9744777509477;170.0750732042361;11418.198145925999;12.486267;0.094119914;-13.83128;47.20243;0.0004062632;10.173261
5;351.9827242568135;242.0345787475817;46.0001336572459;170.12630197382532;11418.198655645363;12.486267;0.10369961;-19.114582;12.408015;0.00021561995;7.6360016
6;352.2045654915273;242.08608252368867;46.012962102657184;170.1519173416309;11418.198910514824;12.486267;0.16302073;-8.849505;32.67438;0.0012899193;7.10472
7;352.30440069548786;242.1092607663013;46.018735287478194;170.1634450245183;11418.199025213718;12.486267;0.08358625;-6.1960673;51.36682;0.0003308539;10.435562
8;352.31548611074686;242.111834411975;46.01937632530462;170.16472502541728;11418.199037949555;12.486267;0.094866596;25.53961;45.667633;0.00022983368;11.755856
9;352.41530429013073;242.13500870252028;46.02514852571767;170.17625074274838;11418.199152628891;12.486267;0.109696686;-9.278459;45.056744;0.0006516552;8.309858
10;352.8700717706233;242.24058980681002;46.05144643096719;170.22876143222675;11418.199675103184;12.486267;0.29478586;-12.777655;17.085312;0.0010350399;7.909213
11;353.01426524855196;242.27406648965552;46.0597847282188;170.24541103746742;11418.199840764515;12.486267;0.122483805;-12.777655;13.7395315;0.00026155874;7.655881
12;353.03645269572735;242.27921763900667;46.06106776499655;170.24797295802273;11418.19986625528;12.486267;0.110733785;-15.900838;16.18826;0.00020176289;7.1054344
13;353.0808105673641;242.28951598517597;46.063632854027674;170.25309483357705;11418.199917217251;12.486267;0.18540534;-14.606594;12.206918;0.00077683624;6.6929307
14;353.1251858677715;242.29981837794185;46.06619895098265;170.25821872148663;11418.199968199246;12.486267;0.18578354;-12.137892;12.913084;0.00039477262;8.641257
15;353.13627087697387;242.3023919290863;46.0668399654096;170.25949867535383;11418.199980934616;12.486267;0.23326202;-12.137892;11.614047;0.001061679;6.383497
16;353.39138497412205;242.36162050068378;46.08159248542506;170.2889559646137;11418.200274030678;12.486267;0.0979936;-11.834587;10.19975;0.0002359812;6.1089344
17;353.4246574304998;242.36934520117939;46.08351653651334;170.2927978390362;11418.200312256813;12.486267;0.1580597;-11.834587;9.650559;0.0004210089;6.97801
18;353.45793029107153;242.37706999620423;46.085440611233935;170.2966397604905;11418.200350483414;12.486267;0.12548408;-12.777655;14.043287;0.0003368398;7.123574
19;353.6575840804726;242.42342262296006;46.09698601986747;170.31969320774078;11418.20057986211;12.486267;0.1356875;-23.606451;31.26303;0.000503047;7.0479717
20;353.90161276236176;242.48007754888386;46.111097501940094;170.34787049586885;11418.200860222336;12.486267;0.14829181;-14.210983;11.693906;0.00044336813;6.4930596
21;353.93488562479615;242.48780234344304;46.11302157654427;170.35171241732314;11418.200898448937;12.486267;0.18738316;-17.932741;26.795456;0.00080129737;6.0245667
22;353.9459706339985;242.49037589505315;46.11366259097122;170.35299237142317;11418.200911184307;12.486267;0.17869562;-11.257965;28.440498;0.0013490217;7.2138457
23;353.9570556432009;242.49294944666326;46.11430360539816;170.35427232529037;11418.200923919678;12.486267;0.36907828;-13.46644;15.249067;0.0025160606;6.3945985
24;353.9681580811739;242.4955270444043;46.114945627748966;170.35555429197848;11418.200936675072;12.486267;0.36308736;-12.452024;16.496689;0.0017157942;7.358381
25;353.97924349457026;242.498100690078;46.11558666557539;170.35683429264463;11418.200949410908;12.486267;0.3029778;-12.452024;10.880276;0.00047735305;12.389714
26;353.9903459325433;242.50067828781903;46.116228687926196;170.35811625909992;11418.200962166302;12.486267;0.17409539;-15.019262;12.917203;0.0005735403;7.018028
27;354.00143094174564;242.50325183896348;46.11686970235314;170.35939621319994;11418.200974901672;12.486267;0.37755683;-14.210983;14.30656;0.0024808077;6.2565937
28;354.01253337971866;242.50582943717018;46.11751172458753;170.36067817965522;11418.200987657066;12.486267;0.21777801;-11.257965;17.530653;0.00045396885;8.079612
29;354.03470380418;242.51097663398832;46.11879377695732;170.36323813465424;11418.201013128273;12.486267;0.23860951;-14.606594;14.441839;0.00041509644;11.91571
30;354.0901641137898;242.52385257789865;46.122000888339244;170.36964197666384;11418.201076845638;12.486267;0.1279337;-8.849505;31.678185;0.00068944256;13.214971
31;354.1123515609652;242.5290037272498;46.12328392500058;170.37220389721915;11418.201102336403;12.486267;0.21762705;-9.73105;32.05622;0.0016795776;16.485388
32;354.1456244215369;242.53672852227464;46.125207999604754;170.37604581844062;11418.201140563004;12.486267;0.18413833;-11.541473;20.310799;0.0003393102;10.3373785
33;354.1567094307393;242.53930207388476;46.1258490140317;170.37732577254064;11418.201153298374;12.486267;0.15592466;-10.717666;25.535166;0.0008724013;7.254689
34;354.3896356765181;242.59337940160185;46.139318473869935;170.40422109421343;11418.201420903206;12.486267;0.16694903;-14.210983;15.640906;0.0006194218;6.863173
35;354.47838627547026;242.61398418666795;46.14445066766348;170.41446887003258;11418.201522867195;12.486267;0.17659399;-16.372648;13.820763;0.000645573;6.795678
36;354.4894712846726;242.61655773827806;46.14509168220684;170.4157488241326;11418.201535602566;12.486267;0.30330387;-13.115525;16.601704;0.0014850076;6.499475
37;354.500556293875;242.61913128988817;46.145732696633786;170.41702877823263;11418.201548337936;12.486267;0.14763445;-16.372648;11.850879;0.00044373932;6.88004
38;354.53382915630937;242.62685608444735;46.14765677123796;170.4208706994541;11418.201586564537;12.486267;0.30360135;-12.137892;21.489815;0.001800697;6.732056
39;354.57820445485413;242.63715847721323;46.150222868076526;170.42599458736368;11418.201637546532;12.486267;0.15920825;-15.019262;12.893316;0.00047848278;6.4247527
40;354.5892894640565;242.63973202882335;46.15086388250347;170.4272745414637;11418.201650281902;12.486267;0.1847202;-14.210983;15.557055;0.00069693377;6.1938634
41;354.678022634238;242.66033276775852;46.155995068489574;170.43752030469477;11418.201752225868;12.486267;0.38483465;-12.137892;10.94636;0.0012056312;10.052571
42;354.8776760175824;242.70668530045077;46.16754045372363;170.4605737051461;11418.2019816041;12.486267;0.2278088;-12.137892;16.132864;0.0006082121;8.199916
43;354.88877845555544;242.7092628981918;46.16818247595802;170.46185567160137;11418.201994359493;12.486267;0.24626318;-11.834587;17.295277;0.001090455;6.4443545
44;354.9442387651652;242.7221388425678;46.171389587339945;170.46825951361097;11418.202058076859;12.486267;0.42080542;-12.137892;14.833625;0.0014649595;9.98495
45;354.95532417856157;242.72471248777583;46.17203062528279;170.46953951450996;11418.202070812695;12.486267;0.41837168;-12.777655;16.600891;0.0012818075;12.48856
46;354.96640918776393;242.72728603938594;46.17267163970973;170.47081946837716;11418.202083548065;12.486267;0.11595519;-12.777655;11.872329;0.00028641443;7.213706
47;355.01078448817134;242.73758843215182;46.1752377365483;170.47594335628673;11418.20213453006;12.486267;0.15733026;-13.83128;11.833682;0.00040269093;7.651504
