;cml;phi_io;phi_gan;phi_eu;time;freq;intensity;drift_rate;sigma;chi;snr
0;351.45032604411244;241.91097450209782;45.96934658847749;170.06482748757116;11418.198043982498;12.486267;0.54074806;-14.210983;16.502329;0.0012051964;11.365077
1;351.46142848208547;241.91355209983885;45.96998861071188;170.06610945402645;11418.198056737892;12.486267;0.2892949;-13.46644;15.579597;0.0003691098;16.42107
2;351.4947009384632;241.92127680080011;45.971912661916576;170.06995132868178;11418.198094964027;12.486267;0.5326321;-11.834587;14.552418;0.0018059973;12.127479
3;351.50578635185957;241.92385044600815;45.972553699743;170.07123132958077;11418.198107699864;12.486267;0.16321923;-13.83128;13.15662;0.00028790042;9.6830015
4;351.5945191178471;241.94445109087974;45.977684862329625;170.08147704601288;11418.198209643364;12.486267;0.11305064;-22.735594;37.86073;0.00040589177;10.005397
5;351.6943547260016;241.96762942755595;45.983458070550114;170.09300477593206;11418.198324342724;12.486267;0.11354622;-29.041534;43.05302;0.00032808282;24.025812
6;351.8274457678199;241.99852851312608;45.99115434556734;170.10837241471745;11418.198477248661;12.486267;0.16289982;-14.210983;13.938873;0.00048607896;6.6720285
7;351.88290607742965;242.0114044570364;45.994361456949264;170.11477625649422;11418.198540966026;12.486267;0.16210234;-13.83128;13.558571;0.00029711056;9.059914
8;351.9827242568135;242.0345787475817;46.0001336572459;170.12630197382532;11418.198655645363;12.486267;0.19040726;-24.538782;43.13428;0.00077031297;7.853618
9;352.0270991511643;242.04488104581833;46.002699730801396;170.13142581493594;11418.198706626892;12.486267;0.10875209;-10.717666;35.995605;0.00044980014;8.787819
10;352.07147444970906;242.0551834385842;46.00526582763996;170.1365497028455;11418.198757608887;12.486267;0.084843375;-23.606451;40.834026;0.00033308362;6.548814
11;352.12691733054817;242.0680553363636;46.00847193109803;170.14295153226703;11418.198821306229;12.486267;0.13635807;-11.541473;41.019245;0.0008387048;12.915245
12;352.23783794790506;242.09380722464994;46.01488615386188;170.15575921628624;11418.19894874096;12.486267;0.21245934;-13.115525;11.800024;0.0004830494;11.821231
13;352.29329825751483;242.10668316856027;46.018093265243806;170.16216305806302;11418.199012458324;12.486267;0.1496723;-13.83128;12.720938;0.0004253892;6.9149017
14;352.3265711199492;242.1144079635851;46.02001733984798;170.1660049795173;11418.199050684925;12.486267;0.23493834;-10.717666;29.86877;0.0024232296;11.75768
15;352.41530429013073;242.13500870252028;46.02514852571767;170.17625074274838;11418.199152628891;12.486267;0.21207604;-19.114582;33.535713;0.00082693534;6.3920226
16;352.44859417527914;242.14273744961247;46.027073584729806;170.18009462975897;11418.19919087505;12.486267;0.19406272;-15.019262;28.230646;0.00048296724;7.228055
17;352.49295204505324;242.15303579578176;46.02963867387734;170.1852165053133;11418.199241837021;12.486267;0.11782657;-9.73105;34.849583;0.00076261495;18.140362
18;352.7480661422014;242.2122643669136;46.04439119377639;170.21467379434034;11418.199534933083;12.486267;0.1812221;-11.257965;8.527146;0.00048579843;7.4506817
19;352.81461146101356;242.22771386243403;46.048239319585264;170.22235759044997;11418.199611385819;12.486267;0.10726771;-8.849505;32.450893;0.0006043457;6.1181293
20;352.84788432344794;242.23543865745887;46.05016339418944;170.22619951167144;11418.19964961242;12.486267;0.18135335;-11.834587;11.026957;0.000693174;6.039528
21;352.8700717706233;242.24058980681002;46.05144643096719;170.22876143222675;11418.199675103184;12.486267;0.6437222;-13.83128;15.389803;0.002237916;13.28416
22;352.8811567798257;242.24316335795447;46.052087445394136;170.23004138632677;11418.199687838554;12.486267;0.24436377;-12.777655;15.3340025;0.0009529002;7.3175826
23;352.90334463119507;242.2483146013692;46.053370505571365;170.23260335368104;11418.199713329785;12.486267;0.110096335;-8.245526;37.392944;0.0008262063;8.480293
24;352.9366170875728;242.25603930233046;46.05529455677606;170.23644522833638;11418.19975155592;12.486267;0.13393568;-13.46644;11.444566;0.00039379022;6.158689
25;352.95880494080484;242.2611905457452;46.05657761695329;170.23900719569065;11418.19977704715;12.486267;0.120846376;-9.061177;28.169756;0.0009181848;6.453168
26;353.0031798351556;242.27149284398183;46.059143690392375;170.24413103656843;11418.199828028679;12.486267;0.334775;-14.210983;15.709782;0.0007363446;13.641077
